Municipality,Geography,HomeType,Median Price of Year,Median Price of 2023,Price YoY
TORONTO,Toronto W05,Detached,1244298.5625,1214862.7270075895,-0.023656569556159468
TORONTO,Toronto W06,Condo Apt,792226.78125,823705.6964864527,0.039734727456176566
TORONTO,Toronto W06,Detached,1362804.375,1381536.62408737,0.013745369057367451
TORONTO,Toronto W06,Semi-Detached,1210000.0,1271288.5334428756,0.0506516805313022
TORONTO,Toronto W07,Detached,1876400.3125,1837064.8870026558,-0.020963237554003644
TORONTO,Toronto W08,Condo Apt,716822.53125,740458.6578440812,0.03297347050861288
TORONTO,Toronto W08,Condo Townhouse,839843.6875,906847.1377219175,0.07978085829443993
TORONTO,Toronto W08,Detached,1891417.8125,1851391.540793717,-0.021162046503822474
TORONTO,Toronto W09,Condo Apt,550949.65625,573897.8510461855,0.041652072082920766
TORONTO,Toronto W09,Condo Townhouse,821798.5,719700.5727884079,-0.12423717883592156
TORONTO,Toronto W09,Detached,1451499.0625,1373349.5437097573,-0.05384055753755801
TORONTO,Toronto W10,Condo Apt,588500.0,572772.2460220455,-0.02672515544257348
TORONTO,Toronto W10,Condo Townhouse,726125.0,730152.8930159756,0.0055471069250825344
TORONTO,Toronto W10,Detached,1111468.8125,1017817.9920648719,-0.08425861291103753
TORONTO,Toronto W10,Semi-Detached,907483.34375,713042.4680241061,-0.2142638507527912
YORK,Aurora,Condo Townhouse,934132.4375,967719.7763755632,0.03595564989205635
YORK,Aurora,Detached,1744193.5,1631838.2032404293,-0.06441676153452625
YORK,Aurora,Semi-Detached,1056000.0,1009690.1461571022,-0.04385402826031992
YORK,Georgina,Detached,966323.09375,935603.2912798251,-0.03179040495758079
YORK,King,Detached,2367587.75,2302370.3385713603,-0.027545932111128546
YORK,Markham,Condo Apt,743253.21875,756812.8177557861,0.018243579259018317
YORK,Markham,Condo Townhouse,943651.5,919214.0564180091,-0.025896682813507876
YORK,Markham,Detached,1769424.125,1759603.429899751,-0.005550221092554097
YORK,Markham,Link,1230155.5,1209781.766089583,-0.01656191750589009
YORK,Markham,Semi-Detached,1226896.5,1220781.340098627,-0.004984250832383297
YORK,Newmarket,Condo Apt,660112.5,661026.1630168651,0.0013841019778675356
YORK,Newmarket,Condo Townhouse,888549.0,846615.0487402487,-0.04719374087388695
YORK,Newmarket,Detached,1321182.4375,1279859.663580466,-0.031277114156714636
YORK,Newmarket,Semi-Detached,930259.375,907984.0032490329,-0.023945334333198343
YORK,Richmond Hill,Condo Apt,720634.46875,696101.4864175037,-0.03404358713933131
YORK,Richmond Hill,Condo Townhouse,953500.0,945170.1833817646,-0.008736042599093219
YORK,Richmond Hill,Link,1287500.0,1203485.3842326528,-0.06525407049891041
YORK,Richmond Hill,Semi-Detached,1286786.375,1193233.1354420215,-0.07270300756641013
YORK,Vaughan,Condo Apt,745315.5,739695.822295892,-0.007539998435706741
YORK,Vaughan,Condo Townhouse,943163.84375,962830.582210846,0.02085187912065356
YORK,Vaughan,Link,492500.0,818980.2809245745,0.6629041237047197
YORK,Vaughan,Semi-Detached,1217169.4375,1175875.426480859,-0.03392626346579697
YORK,Whitchurch-Stouffville,Detached,1578017.25,1460574.4821356935,-0.07442426111901279
